bf_time,elapsed_s,pattern_id,action,alpha_rel,beta_rel,theta_rel,delta_rel,gamma_rel,alpha_uV2,beta_uV2,theta_uV2,delta_uV2,gamma_uV2,total_1_45_uV2,,alpha_avg,beta_avg,theta_avg,delta_avg,gamma_avg,,alphauv2_avg,betauv2_avg,thetauv2_avg,deltauv2_avg,gammauv2_avg
1769101176,2,,,0.015036968,0.445021293,0.063083939,0.385383054,0.015412266,363.7680939,10765.77029,1526.100455,9323.026781,372.8471286,24191.58467,,0.028971227,,,,,,,,,,
1769101177,3,,,0.003694705,0.394579987,0.007119116,0.563942388,0.012496772,114.182048,12194.194,220.010846,17428.21002,386.2032185,30904.23842,,,,,,,,,,,,
1769101178,4,,,0.007671121,0.551624727,0.038144253,0.300227618,0.069565359,218.6813453,15725.21573,1087.381641,8558.615727,1983.105955,28507.08996,,,,,,,,,,,,
1769101179,5,,,0.033036646,0.093846415,0.096322659,0.674509706,0.018084464,7922.68042,22505.76976,23099.60986,161757.4855,4336.92419,239814.9114,,,,,,,,,,,,
1769101180,6,,,0.046759577,0.077842639,0.127136494,0.638665781,0.018953568,21784.83254,36266.12876,59231.65691,297548.1797,8830.282977,465890.2803,,,,,,,,,,,,
1769101181,7,,,0.029646247,0.075678874,0.103388451,0.700692475,0.01374735,4043.573543,10322.15288,14101.57604,95570.32821,1875.057546,136394.1125,,,,,,,,,,,,
1769101182,8,,,0.037773772,0.075192051,0.10113465,0.694603876,0.014308514,9434.520989,18780.25257,25259.77495,173486.9062,3573.748994,249763.8039,,,,,,,,,,,,
1769101183,9,,,0.041659513,0.082617153,0.109934116,0.650799374,0.016473427,18822.07322,37327.03536,49669.03989,294035.9291,7442.815137,451807.3323,,,,,,,,,,,,
1769101184,10,,,0.021317535,0.421134765,0.064101145,0.424744332,0.018649473,834.6185795,16488.15832,2509.671267,16629.47916,730.159301,39151.7388,,,,,,,,,,,,
1769101185,11,,,0.018801071,0.228121795,0.044269588,0.647586428,0.015882414,417.2736833,5062.968017,982.5256133,14372.62657,352.4965763,22194.14419,,,,,,,,,,,,
1769101186,12,,,0.010090522,0.178286043,0.060550619,0.663791482,0.043924658,95.88373112,1694.137496,575.3735508,6307.583138,417.3877527,9502.356245,,,,,,,,,,,,
