trial_id,pattern_name,phase,reading_rows,t_min_ms,t_max_ms
1,AUD001.mp3,baseline,591,1775014803591,1775014833576
1,AUD001.mp3,stimulation,886,1775014833591,1775014863584
3,AUD012.mp3,baseline,594,1775144129477,1775144159413
3,AUD012.mp3,stimulation,891,1775144159474,1775144189441
4,AUD018.mp3,stimulation,594,1775144588996,1775144618909
5,AUD019.mp3,stimulation,594,1775144736731,1775144766656
6,AUD002.mp3,baseline,224,1775145650220,1775145661488
7,AUD017.mp3,baseline,528,1775150283751,1775150310469
8,AUD002.mp3,stimulation,524,1775150540666,1775150567175
10,AUD008.mp3,baseline,526,1775748658369,1775748684952
10,AUD008.mp3,stimulation,789,1775748688307,1775748714867
11,AUD020.mp3,stimulation,532,1775748851104,1775748877971
12,AUD009.mp3,stimulation,528,1775748990525,1775749017184
13,AUD004.mp3,stimulation,524,1775749133049,1775749159513
14,AUD002.mp3,stimulation,266,1775749287409,1775749314280
15,AUD015.mp3,baseline,526,1775749691583,1775749718164
15,AUD015.mp3,stimulation,789,1775749721602,1775749748177
16,AUD013.mp3,stimulation,532,1775749876779,1775749903641
17,AUD010.mp3,stimulation,528,1775750037910,1775750064578
18,AUD008.mp3,stimulation,1,1775750171080,1775750171080
19,AUD019.mp3,stimulation,265,1775750331984,1775750358753
20,AUD007.mp3,baseline,316,1776359129241,1776359155946
20,AUD007.mp3,stimulation,304,1776359159055,1776359185863
21,AUD015.mp3,stimulation,281,1776359411467,1776359438165
